epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,42.3712,0.5676,0.86681,0.9122,0.8725,0.94585,0.98574,0.79102,0.7954,0.59126,1.10298,0.000222208,0.000222208,0.000222208
42,43.3259,0.5843,0.7968,0.93157,0.87303,0.94368,0.98574,0.80487,0.75236,0.5669,1.07012,0.000221363,0.000221363,0.000221363
43,44.3015,0.58512,0.79731,0.92347,0.8855,0.94016,0.98574,0.82021,0.73006,0.55382,1.04595,0.000220518,0.000220518,0.000220518
44,45.2415,0.56526,0.77493,0.90903,0.88287,0.96471,0.98574,0.81376,0.73628,0.55783,1.05133,0.000219674,0.000219674,0.000219674
45,46.3038,0.55155,0.74989,0.91621,0.87388,0.96032,0.98111,0.79644,0.76058,0.55251,1.07101,0.000218829,0.000218829,0.000218829
46,47.2616,0.56492,0.7657,0.91642,0.89391,0.96207,0.98111,0.78852,0.79189,0.55835,1.10562,0.000217984,0.000217984,0.000217984
47,48.2204,0.58088,0.78478,0.91305,0.87141,0.9783,0.98111,0.80069,0.76713,0.56035,1.09714,0.000217139,0.000217139,0.000217139
48,49.2069,0.55037,0.73519,0.91467,0.90531,0.95541,0.98574,0.81992,0.70944,0.53421,1.04963,0.000216294,0.000216294,0.000216294
49,50.1337,0.53978,0.70613,0.90218,0.90243,0.94269,0.98574,0.84537,0.63679,0.52462,0.98848,0.00021545,0.00021545,0.00021545
50,51.1435,0.57943,0.7094,0.91509,0.94544,0.91666,0.98574,0.85088,0.61085,0.53463,0.96677,0.000214605,0.000214605,0.000214605
51,52.1453,0.55323,0.74075,0.89356,0.93446,0.92833,0.98574,0.8339,0.6486,0.48926,0.98728,0.00021376,0.00021376,0.00021376
52,53.0808,0.56518,0.72834,0.91775,0.89055,0.97715,0.98574,0.83068,0.70076,0.47208,1.03378,0.000212915,0.000212915,0.000212915
