epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,180.636,0.40745,0.40888,0.84285,0.94355,0.99051,0.995,0.83848,0.71529,0.34205,1.05802,0.000103936,0.000103936,0.000103936
182,181.625,0.38516,0.42819,0.83972,0.95081,0.98469,0.995,0.83822,0.72024,0.34471,1.08004,0.000103091,0.000103091,0.000103091
183,182.595,0.38976,0.40193,0.85579,0.95447,0.98445,0.995,0.84368,0.71171,0.33783,1.08607,0.000102246,0.000102246,0.000102246
184,183.566,0.36911,0.41578,0.85179,0.95316,0.98404,0.995,0.84408,0.69269,0.33647,1.06483,0.000101402,0.000101402,0.000101402
185,184.526,0.41487,0.43051,0.84437,0.95736,0.9816,0.995,0.84358,0.69168,0.34002,1.05851,0.000100557,0.000100557,0.000100557
186,185.525,0.37532,0.38015,0.84652,0.96112,0.9779,0.995,0.84689,0.70057,0.33997,1.05033,9.9712e-05,9.9712e-05,9.9712e-05
187,186.516,0.36235,0.36264,0.84523,0.96288,0.97332,0.995,0.84991,0.70944,0.34408,1.04498,9.88672e-05,9.88672e-05,9.88672e-05
188,187.76,0.37382,0.39378,0.82555,0.96628,0.96834,0.995,0.85015,0.69881,0.33418,1.02959,9.80224e-05,9.80224e-05,9.80224e-05
189,188.849,0.39566,0.43406,0.85957,0.96576,0.96823,0.995,0.84692,0.67844,0.33263,1.01434,9.71776e-05,9.71776e-05,9.71776e-05
190,189.893,0.38551,0.4116,0.84498,0.9602,0.9784,0.995,0.86358,0.67504,0.32173,1.01421,9.63328e-05,9.63328e-05,9.63328e-05
191,191.003,0.39222,0.42706,0.83427,0.96306,0.98288,0.995,0.85326,0.69394,0.32771,1.03027,9.5488e-05,9.5488e-05,9.5488e-05
192,191.978,0.37831,0.3775,0.8555,0.96171,0.981,0.995,0.84963,0.70502,0.32482,1.04585,9.46432e-05,9.46432e-05,9.46432e-05
193,192.942,0.39752,0.42741,0.85658,0.95761,0.97924,0.995,0.8399,0.70974,0.31984,1.0488,9.37984e-05,9.37984e-05,9.37984e-05
194,193.938,0.38535,0.41089,0.85013,0.95344,0.97687,0.995,0.85228,0.69992,0.32154,1.03741,9.29536e-05,9.29536e-05,9.29536e-05
195,194.892,0.39383,0.41598,0.86601,0.95112,0.97884,0.995,0.84897,0.68809,0.32292,1.02204,9.21088e-05,9.21088e-05,9.21088e-05
196,195.843,0.38814,0.44432,0.84979,0.95081,0.97962,0.995,0.84903,0.67204,0.32215,1.01072,9.1264e-05,9.1264e-05,9.1264e-05
197,196.797,0.37605,0.40883,0.83174,0.95291,0.97657,0.995,0.85311,0.6763,0.32236,1.01886,9.04192e-05,9.04192e-05,9.04192e-05
198,197.745,0.38719,0.43287,0.85114,0.95618,0.97321,0.995,0.85263,0.69867,0.32504,1.04414,8.95744e-05,8.95744e-05,8.95744e-05
199,198.714,0.37911,0.3999,0.84182,0.95949,0.9725,0.995,0.85128,0.72283,0.33398,1.06872,8.87296e-05,8.87296e-05,8.87296e-05
200,199.75,0.38124,0.39215,0.84322,0.96,0.97313,0.995,0.84321,0.72241,0.33612,1.06857,8.78848e-05,8.78848e-05,8.78848e-05
201,200.823,0.38747,0.4162,0.8512,0.95885,0.97267,0.995,0.84624,0.71224,0.34172,1.05495,8.704e-05,8.704e-05,8.704e-05
202,201.917,0.39183,0.4579,0.84579,0.95653,0.97275,0.995,0.84707,0.69755,0.32955,1.03646,8.61952e-05,8.61952e-05,8.61952e-05
203,203.013,0.37938,0.42034,0.83893,0.95349,0.97619,0.995,0.84405,0.69306,0.33926,1.03015,8.53504e-05,8.53504e-05,8.53504e-05
204,204.087,0.38673,0.40231,0.83681,0.95057,0.9821,0.995,0.8485,0.68804,0.33396,1.02916,8.45056e-05,8.45056e-05,8.45056e-05
205,205.039,0.37225,0.39187,0.84542,0.95138,0.98289,0.995,0.83959,0.70185,0.33194,1.04048,8.36608e-05,8.36608e-05,8.36608e-05
206,206.023,0.36621,0.42079,0.83343,0.95568,0.98277,0.995,0.84398,0.71641,0.3397,1.05413,8.2816e-05,8.2816e-05,8.2816e-05
207,207.015,0.36517,0.39417,0.82838,0.95883,0.98456,0.995,0.83196,0.73336,0.34532,1.07207,8.19712e-05,8.19712e-05,8.19712e-05
208,208.341,0.36594,0.38858,0.85234,0.96157,0.98683,0.995,0.83534,0.74436,0.34769,1.07838,8.11264e-05,8.11264e-05,8.11264e-05
209,209.604,0.37294,0.41498,0.82846,0.96247,0.99025,0.995,0.8441,0.7351,0.34339,1.06436,8.02816e-05,8.02816e-05,8.02816e-05
